Georgia|Decatur|M|32.4|39.1
Georgia|DeKalb|M|22.7|27.5
Georgia|Dodge|M|32.7|41.1
Georgia|Dooly|M|31.7|39.4
Georgia|Dougherty|M|30.5|36.5
Georgia|Douglas|M|28.8|33.5
Georgia|Early|M|32.0|40.2
Georgia|Echols|M|31.0|42.3
Georgia|Effingham|M|30.8|37.4
Georgia|Elbert|M|32.0|39.1
Georgia|Emanuel|M|33.3|39.7
Georgia|Evans|M|32.6|37.5
Georgia|Fannin|M|28.6|34.7
Georgia|Fayette|M|23.8|28.8
Georgia|Floyd|M|29.1|33.1
Georgia|Forsyth|M|24.1|29.6
Georgia|Franklin|M|30.2|36.8
Georgia|Fulton|M|23.0|26.6
Georgia|Gilmer|M|28.4|35.9
Georgia|Glascock|M|31.1|39.4
Georgia|Glynn|M|27.4|36.7
Georgia|Gordon|M|29.5|35.7
Georgia|Grady|M|31.7|38.0
Georgia|Greene|M|29.9|37.0
Georgia|Gwinnett|M|24.4|30.3
Georgia|Habersham|M|26.8|34.8
Georgia|Hall|M|27.0|33.0
Georgia|Hancock|M|35.2|40.4
Georgia|Haralson|M|32.2|36.9
Georgia|Harris|M|27.1|34.6
Georgia|Hart|M|30.8|36.7
Georgia|Heard|M|32.3|39.9
Georgia|Henry|M|26.8|33.8
Georgia|Houston|M|27.3|34.6
Georgia|Irwin|M|31.9|38.7
Georgia|Jackson|M|30.0|37.2
Georgia|Jasper|M|29.2|36.5
Georgia|Jeff Davis|M|32.9|38.5
Georgia|Jefferson|M|34.7|41.7
Georgia|Jenkins|M|36.1|42.4
Georgia|Johnson|M|33.5|41.9
Georgia|Jones|M|28.3|35.3
Georgia|Lamar|M|31.2|39.7
Georgia|Lanier|M|31.0|40.3
Georgia|Laurens|M|28.7|38.0
Georgia|Lee|M|27.6|35.6
Georgia|Liberty|M|26.9|33.8
Georgia|Lincoln|M|32.8|38.8
Georgia|Long|M|29.2|38.0
Georgia|Lowndes|M|28.6|37.0
Georgia|Lumpkin|M|28.6|33.7
Georgia|Macon|M|34.1|39.6
Georgia|Madison|M|30.2|39.0
Georgia|Marion|M|31.2|38.3
Georgia|McDuffie|M|33.7|41.2
Georgia|McIntosh|M|30.7|39.6
